price,artist,source_artwork
688194.5,Canaletto,Alnwick Castle at Northumberland 1752
14353.0283203125,Henri De Toulouse-Lautrec,Alone
605502.0625,Edvard Munch,Alpha and Omega (Alpha und Omega)
189964.5,Henri De Toulouse-Lautrec,Alphonse de Toulouse-Lautrec Driving His Four-in-Hand
2340.62109375,Federico de Madrazo y Kuntz,Amalia de Llano y Dotres- The Countess of Vilches 1853
3931.537353515625,Alphonse Maria Mucha,"Amants, 1895"
18139.29296875,"(after) Dyck, Sir Anthony van",Amaryllis and Mirtillo
2626443.75,John William Godward,Amaryllis
31115412.0,Grant Wood,American Gothic
81753968.0,Rosa Bonheur,American Mustangs
374190.1875,Albert Bierstadt,Among The Sierra Nevada Mountains California
8249.9658203125,Ivan Konstantinovich Aivazovsky,Among The Waves
8606.8056640625,Sir Lawrence Alma-Tadema,Among the Ruins
522119.25,Claude Oscar Monet,Amsterdam
82125.1875,Gilbert Gaul,An Afternoon Stroll
1471.26953125,David The Younger Teniers,An Alchemist
21849.88671875,Theodor Van Thulden,An Allegory Of Good And Bad Government
151865.546875,Eustache Le Sueur,An Allegory of Magnificence
395190.46875,Martin Johnson Heade,An Amethyst Hummingbird With A White Orchid
41846.3125,Oene Romkes De Jongh,An Amsterdam canal with the Mozes and Aaron church beyond
15317.3828125,Leonardo Da Vinci,An Angel in Red with a Lute
214377.875,Marianne Preindelsberger Stokes,An Angel
54483.125,Eugene Delacroix,An Arab Horseman at the Gallop
17779.3046875,Frederic Remington,An Arguement With The Town Marshall
188133.296875,Harry Hamilton Johnston,An Attack on a Spanish Galleon
33710.82421875,Alfred Sisley,An Autumn Evening near Paris
9588.837890625,John Constable,"An Autumnal Landscape at East Bergholt, c.1805-08"
59581.24609375,Melchior de Hondecoeter,An Eagle and a Swallow in Flight
39659.58984375,Joseph Farquharson,An Egyptian Market
23884.93359375,"(after) Dyck, Sir Anthony van",An En Grisaille Portrait Of The Engraver Pieter De Jode The Elder
1941.4315185546875,Sir Lawrence Alma-Tadema,An Exedra
2586311.5,James Jacques Joseph Tissot,An Interesting Story
1866.1422119140625,Claude Oscar Monet,An Interior After Dinner
298.550537109375,Lord Frederick Leighton,An Italian Lady
230448.796875,Thomas Gainsborough,An Officer of the 4th Regiment of Foot
19657.89453125,Arthur Heyer,An Uninvited Guest
2814.605712890625,Jean-Antoine Watteau,An elegant couple by a sculpted fountain
187163.890625,Paul Sandby,An encampment in St. Jamess Park
7546.6259765625,Peter Monamy,An evening calm with men-o-war at anchor
234809312.0,Leonardo Da Vinci,Anatomical Studies
132006.765625,Leonardo Da Vinci,Anatomical studies of the shoulder
1324360.625,Rembrandt Van Rijn,Anatomy Lesson of Dr Tulp
1399205.25,Michelangelo Buonarroti,Ancestors of Christ - Hezekiah as a child with father Ahaz and his mother
13549.1494140625,Gustave Caillebotte,Anchored Boat On The Seine At Argenteuil
19119.375,Joseph Nash,Ancient Baths
14786.796875,Joseph Mallord William Turner,Ancient Italy Ovid Banished From Rome
3931.537353515625,Paul Gauguin,And The Gold Of Their Bodies
437239.5,Charles Christian Nahl,And a Little Child Shall Lead Them
1030879.0,Jacques Louis David,Andromache Mourning Hector 1783
146231168.0,Eugene Delacroix,Andromeda 1852
14193.9990234375,Raphael,Angel Fragment Of The Baronci Altarpiece
1444300.875,Odilon Redon,Angel In Chains
59940.30078125,Rembrandt Van Rijn,Angel and the Prophet Balaam
26949.9921875,Guido Reni,Angel of the Annunciation
95537.734375,Michelangelo Buonarroti,Angel with Candlestick
5265559.5,Peter Paul Rubens,Angelica and the Hermit 1630s
202699.640625,Marianne Preindelsberger Stokes,Angels Entertaining the Holy Child
83767.484375,Caspar David Friedrich,Angels in Adoration
162794.046875,Charles Henri Leickert,Anglers In A River Landscape
10901059.0,Franz Marc,Animals In Landscape Aka Painting With Bulls
